[label]	uniprot	disease_label
Sodium channel subunit beta-4	Q8IWT1	long QT syndrome
Sodium leak channel non-selective protein	Q8IZF0	neurodegenerative disease
Sphingosine 1-phosphate receptor 2	O95136	nonsyndromic deafness
Steroid hormone receptor err2	O95718	nonsyndromic deafness
Steroidogenic factor 1	Q13285	46 XY gonadal dysgenesis
Steroidogenic factor 1	Q13285	premature ovarian failure
Tau-tubulin kinase 2	Q6IQ55	neurodegenerative disease
Tau-tubulin kinase 2	Q6IQ55	autosomal dominant cerebellar ataxia
Tgf-beta receptor type-1	P36897	craniosynostosis
Tgf-beta receptor type-1	P36897	thoracic aortic aneurysm
Tgf-beta receptor type-1	P36897	Loeys-Dietz syndrome
Tgf-beta receptor type-1	P36897	prostate cancer
Tgf-beta receptor type-1	P36897	aortic aneurysm
Tgf-beta receptor type-2	P37173	Loeys-Dietz syndrome
Tgf-beta receptor type-2	P37173	aortic aneurysm
Tgf-beta receptor type-2	P37173	thoracic aortic aneurysm
Tgf-beta receptor type-2	P37173	Lynch syndrome
Thymidine kinase 2, mitochondrial	O00142	chronic progressive external ophthalmoplegia
Thyroid hormone receptor alpha	P10827	congenital hypothyroidism
Thyrotropin receptor	P16473	congenital hypothyroidism
Thyrotropin receptor	P16473	hyperthyroidism
Thyrotropin receptor	P16473	Graves' disease
Titin	Q8WZ42	limb-girdle muscular dystrophy
Titin	Q8WZ42	hypertrophic cardiomyopathy
Titin	Q8WZ42	dilated cardiomyopathy
Titin	Q8WZ42	cardiomyopathy
Traf2 and nck-interacting protein kinase	Q9UKE5	intellectual disability
Transcription initiation factor tfiid subunit 1	P21675	dystonia
Transcription initiation factor tfiid subunit 1	P21675	generalized dystonia
Transcription initiation factor tfiid subunit 1	P21675	intellectual disability
Transcription initiation factor tfiid subunit 1	P21675	Parkinson's disease
Transient receptor potential cation channel subfamily M member 4	Q8TD43	Brugada syndrome
Transient receptor potential cation channel subfamily M member 7	Q96QT4	Parkinson's disease
Transient receptor potential cation channel subfamily M member 7	Q96QT4	neurodegenerative disease
Transient receptor potential cation channel subfamily M member 7	Q96QT4	amyotrophic lateral sclerosis
Transient receptor potential cation channel subfamily V member 3	Q8NET8	palmoplantar keratosis
Transient receptor potential cation channel subfamily V member 4	Q9HBA0	Charcot-Marie-Tooth disease
Transient receptor potential cation channel subfamily V member 4	Q9HBA0	neurodegenerative disease
Transient receptor potential cation channel subfamily V member 4	Q9HBA0	neuropathy
Transient receptor potential cation channel subfamily V member 6	Q9H1D0	Cri-Du-Chat syndrome
Transient receptor potential cation channel subfamily m member 1	Q7Z4N2	congenital stationary night blindness
Transmembrane channel-like protein 1	Q8TDI8	nonsyndromic deafness
Transmembrane channel-like protein 6	Q7Z403	epidermodysplasia verruciformis
Transmembrane channel-like protein 8	Q8IU68	epidermodysplasia verruciformis
Trimeric intracellular cation channel type B	Q9NVV0	osteogenesis imperfecta
Triple functional domain protein	O75962	intellectual disability
Tyrosine-protein kinase abl1	P00519	cancer
Tyrosine-protein kinase blk	P51451	diabetes mellitus
Tyrosine-protein kinase blk	P51451	systemic scleroderma
Tyrosine-protein kinase blk	P51451	rheumatoid arthritis
Tyrosine-protein kinase btk	Q06187	agammaglobulinemia
Tyrosine-protein kinase fer	P16591	cancer
Tyrosine-protein kinase fes/fps	P07332	cancer
Tyrosine-protein kinase fgr	P09769	cancer
Tyrosine-protein kinase frk	P42685	cancer
Tyrosine-protein kinase fyn	P06241	cancer
Tyrosine-protein kinase hck	P08631	cancer
Tyrosine-protein kinase jak2	O60674	essential thrombocythemia
Tyrosine-protein kinase jak2	O60674	immune system cancer
Tyrosine-protein kinase jak2	O60674	polycythemia vera
Tyrosine-protein kinase jak2	O60674	myelofibrosis
Tyrosine-protein kinase jak2	O60674	cancer
Tyrosine-protein kinase jak3	P52333	severe combined immunodeficiency
Tyrosine-protein kinase lck	P06239	cancer
Tyrosine-protein kinase lyn	P07948	cancer
Tyrosine-protein kinase mer	Q12866	cancer
Tyrosine-protein kinase mer	Q12866	retinitis pigmentosa
Tyrosine-protein kinase receptor ufo	P30530	cancer
Tyrosine-protein kinase styk1	Q6J9G0	cancer
Tyrosine-protein kinase transmembrane receptor ror2	Q01974	Robinow syndrome
Tyrosine-protein kinase yes	P07947	cancer
Tyrosine-protein kinase zap-70	P43403	chronic lymphocytic leukemia
Tyrosine-protein kinase zap-70	P43403	severe combined immunodeficiency
Vascular endothelial growth factor receptor 3	P35916	hereditary lymphedema
Vasopressin V2 receptor	P30518	diabetes insipidus
Vasopressin V2 receptor	P30518	nephrogenic diabetes insipidus
Vitamin d3 receptor	P11473	rickets
Voltage-dependent L-type calcium channel subunit alpha-1C	Q13936	long QT syndrome
Voltage-dependent L-type calcium channel subunit alpha-1C	Q13936	Brugada syndrome
Voltage-dependent L-type calcium channel subunit alpha-1C	Q13936	Timothy syndrome
Voltage-dependent L-type calcium channel subunit alpha-1F	O60840	congenital stationary night blindness
Voltage-dependent L-type calcium channel subunit alpha-1F	O60840	cone-rod dystrophy
Voltage-dependent L-type calcium channel subunit alpha-1F	O60840	night blindness
Voltage-dependent L-type calcium channel subunit beta-2	Q08289	Brugada syndrome
Voltage-dependent T-type calcium channel subunit alpha-1H	O95180	epilepsy
Voltage-dependent calcium channel gamma-2 subunit	Q9Y698	intellectual disability
Voltage-dependent calcium channel subunit alpha-2/delta-1	P54289	malignant hyperthermia
Voltage-dependent calcium channel subunit alpha-2/delta-1	P54289	Brugada syndrome
Voltage-dependent l-type calcium channel subunit alpha-1d	Q01668	epilepsy
Voltage-dependent l-type calcium channel subunit alpha-1s	Q13698	hypokalemic periodic paralysis
Voltage-dependent l-type calcium channel subunit alpha-1s	Q13698	malignant hyperthermia
Voltage-dependent l-type calcium channel subunit beta-4	O00305	juvenile myoclonic epilepsy
Voltage-dependent l-type calcium channel subunit beta-4	O00305	epilepsy
Voltage-dependent l-type calcium channel subunit beta-4	O00305	episodic ataxia
Voltage-dependent n-type calcium channel subunit alpha-1b	Q00975	intellectual disability
Voltage-dependent n-type calcium channel subunit alpha-1b	Q00975	dystonia
Voltage-dependent n-type calcium channel subunit alpha-1b	Q00975	congenital generalized lipodystrophy
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	epilepsy
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	familial hemiplegic migraine
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	neurodegenerative disease
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	episodic ataxia
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	autosomal dominant cerebellar ataxia
Voltage-dependent t-type calcium channel subunit alpha-1g	O43497	autosomal dominant cerebellar ataxia
Voltage-dependent t-type calcium channel subunit alpha-1g	O43497	neurodegenerative disease
Zinc-activated ligand-gated ion channel	Q401N2	visceral heterotaxy
[pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	Q15120	neuropathy
[pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	Q15120	Charcot-Marie-Tooth disease
[pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	Q15120	neurodegenerative disease
